"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 27 13:34:20 GMT 2025","Sat Sep 27 13:34:20 GMT 2025","291","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithInvalidNameTest","User should not be able to create project with invalid name",""
"passed","Sat Sep 27 13:34:21 GMT 2025","Sat Sep 27 13:34:22 GMT 2025","186","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithLimitedRoleTest","User should not be able to create project with limited role",""
"passed","Sat Sep 27 13:34:17 GMT 2025","Sat Sep 27 13:34:18 GMT 2025","494","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithCorrectDataTest","User should be able to create project with correct data",""
"passed","Sat Sep 27 13:33:03 GMT 2025","Sat Sep 27 13:33:57 GMT 2025","53659","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Sep 27 13:34:21 GMT 2025","Sat Sep 27 13:34:21 GMT 2025","167","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithLimitedRoleTest","User should not be able to create project with limited role",""
"passed","Sat Sep 27 13:34:21 GMT 2025","Sat Sep 27 13:34:21 GMT 2025","220","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithLimitedRoleTest","User should not be able to create project with limited role",""
"passed","Sat Sep 27 13:34:19 GMT 2025","Sat Sep 27 13:34:19 GMT 2025","223","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithIdStartingWithNumberTest","User should not be able to create a project if id starts with number",""
"passed","Sat Sep 27 13:34:23 GMT 2025","Sat Sep 27 13:34:23 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sat Sep 27 13:34:13 GMT 2025","Sat Sep 27 13:34:14 GMT 2025","1125","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Sat Sep 27 13:34:23 GMT 2025","Sat Sep 27 13:34:23 GMT 2025","2","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Sat Sep 27 13:34:19 GMT 2025","Sat Sep 27 13:34:19 GMT 2025","249","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithEmptyIdTest","User should not be able to create a project with empty id",""
"passed","Sat Sep 27 13:34:23 GMT 2025","Sat Sep 27 13:34:24 GMT 2025","888","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Sep 27 13:34:12 GMT 2025","Sat Sep 27 13:34:13 GMT 2025","1105","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesCopyOfNonExistingProjectTest","User should not be able to create a copy of non existing project",""
"passed","Sat Sep 27 13:34:18 GMT 2025","Sat Sep 27 13:34:18 GMT 2025","412","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithCorrectDataTest","User should be able to create project with correct data",""
"passed","Sat Sep 27 13:34:20 GMT 2025","Sat Sep 27 13:34:20 GMT 2025","195","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithInvalidNameTest","User should not be able to create project with invalid name",""
"passed","Sat Sep 27 13:34:22 GMT 2025","Sat Sep 27 13:34:22 GMT 2025","209","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithOver225IdSymbolsTest","User should not be able to create a project if id has more than 225 symbols",""
"passed","Sat Sep 27 13:34:20 GMT 2025","Sat Sep 27 13:34:21 GMT 2025","332","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithInvalidNameTest","User should not be able to create project with invalid name",""
"passed","Sat Sep 27 13:34:19 GMT 2025","Sat Sep 27 13:34:19 GMT 2025","155","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithIdStartingWithUnderscoreTest","User should not be able to create a project if id starts with _",""
"passed","Sat Sep 27 13:34:15 GMT 2025","Sat Sep 27 13:34:15 GMT 2025","343","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithCorrectDataTest","User should be able to create project with correct data",""
"passed","Sat Sep 27 13:34:16 GMT 2025","Sat Sep 27 13:34:16 GMT 2025","481","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithCorrectDataTest","User should be able to create project with correct data",""
"passed","Sat Sep 27 13:34:21 GMT 2025","Sat Sep 27 13:34:21 GMT 2025","176","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithInvalidSymbolsIdTest","User should not be able to create a project if id includes invalid symbols",""
"passed","Sat Sep 27 13:34:22 GMT 2025","Sat Sep 27 13:34:23 GMT 2025","289","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithTheSameIdTest","User should not be able to create two projects with the same id",""
"passed","Sat Sep 27 13:34:24 GMT 2025","Sat Sep 27 13:34:25 GMT 2025","381","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Sat Sep 27 13:34:17 GMT 2025","Sat Sep 27 13:34:17 GMT 2025","341","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithCorrectDataTest","User should be able to create project with correct data",""
"passed","Sat Sep 27 13:34:18 GMT 2025","Sat Sep 27 13:34:19 GMT 2025","205","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithCyrillicIdTest","User should not be able to create a project if id cyrillic symbols",""
"passed","Sat Sep 27 13:34:15 GMT 2025","Sat Sep 27 13:34:16 GMT 2025","477","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithCorrectDataTest","User should be able to create project with correct data",""
"passed","Sat Sep 27 13:34:12 GMT 2025","Sat Sep 27 13:34:12 GMT 2025","173","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Sat Sep 27 13:34:23 GMT 2025","Sat Sep 27 13:34:23 GMT 2025","539","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithTheSameNameTest","User should not be able to create two projects with the same name",""
"passed","Sat Sep 27 13:34:22 GMT 2025","Sat Sep 27 13:34:22 GMT 2025","244","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithLongNameTest","User should be able to create project with long name and verify name",""
"passed","Sat Sep 27 13:34:19 GMT 2025","Sat Sep 27 13:34:20 GMT 2025","182","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithInvalidIdTest","User should not be able to create project with invalid ID",""
